id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit
7bEDDsy2LFC0KSqhZp5nPE,Sweet Disaster,['DREAMERS'],205173,8/26/16,2016,0.00794,0.515,0.821,0.0,0.0787,-2.333,0.0309,86.995,0.425,1,0,62,0
4woy5GB7qNu0CJL6Wwp7WQ,Sweet Dreams (Are Made Of This),['Emily Browning'],318640,3/22/11,2011,0.0832,0.409,0.547,0.208,0.143,-10.474,0.029,91.85,0.152,1,8,42,0
1W0OCrMsRP1SLTEdw3JwEz,"Sweet Dreams, TN","['The Last Shadow Puppets', 'Alex Turner', 'Miles Kane']",236253,12/2/16,2016,0.000878,0.282,0.566,0.0,0.38,-6.924,0.0291,112.362,0.477,0,11,59,1
0hIGUS1PQbv5NIrHIf6Fza,Sweet Emotion,['The Kooks'],308569,1/1/14,2014,0.0459,0.764,0.829,0.000184,0.104,-5.261,0.0711,98.02,0.606,1,1,58,0
6VBuV3fk37EGAqFbDVQjHv,Sweet Lady,['03 Greedo'],280790,7/27/16,2016,0.0468,0.644,0.754,2e-06,0.112,-6.567,0.0697,90.014,0.565,0,2,53,1
6MEDfjHxnVNcYmHe3mM6L2,Sweet Life,['Frank Ocean'],262680,7/10/12,2012,0.227,0.479,0.558,0.0,0.0808,-6.074,0.179,83.465,0.8,1,11,61,1
3CScJ0ttMJ687s3rlLdrnV,Sweet Love,['Chris Brown'],200000,7/3/12,2012,0.00593,0.631,0.759,0.0,0.235,-4.622,0.048,139.901,0.698,1,4,51,0
3Z6DV0jsGqCs4whsfda7lX,Sweet Love,['Anita Baker'],266201,6/23/17,2017,0.36,0.504,0.728,0.0,0.159,-5.699,0.0234,89.255,0.683,0,10,58,0
39EXZNMxb4RBHlRjnRaOKp,Sweet Night,['V'],214259,3/13/20,2020,0.495,0.462,0.339,8.15e-06,0.0893,-7.943,0.025,92.106,0.149,1,3,78,0
24LS4lQShWyixJ0ZrJXfJ5,Sweet Nothing (feat. Florence Welch),"['Calvin Harris', 'Florence Welch']",212560,10/29/12,2012,0.197,0.573,0.929,0.000112,0.0567,-3.942,0.109,127.934,0.582,0,8,71,0
7swGurTfZlwx7mTOE8PpIc,Sweet November,['SZA'],243744,4/8/14,2014,0.532,0.478,0.551,0.0154,0.288,-7.079,0.0354,108.849,0.481,0,0,50,1
4nwxCitFgnLugXCl0JFNTJ,Sweet Serenade,"['Pusha T', 'Chris Brown']",219293,10/31/13,2013,0.0127,0.722,0.702,0.0051,0.384,-6.688,0.347,150.056,0.424,1,7,56,1
6206Kvrl6LTMvDomHgEDMH,Sweet Serendipity,['Lee DeWyze'],198280,11/12/10,2010,0.00651,0.456,0.873,0.0,0.104,-3.545,0.0365,188.063,0.759,1,10,45,0
5CXuWIwBnyMVmhAtpHBmuO,Sweet Sun,['Milky Chance'],274000,6/20/14,2014,0.0678,0.645,0.92,0.0,0.0797,-7.113,0.042,115.995,0.921,1,7,48,0
6kcHg7XL6SKyPNd78daRBL,Sweet Talk,['Saint Motel'],192040,10/21/16,2016,0.0392,0.67,0.843,0.0,0.225,-4.311,0.0454,117.01,0.713,1,1,65,0
7HH3Z407WFkwShb1kLSPmM,Sweet Victory,"['Trip Lee', 'Dimitri McDowell', 'Leah Smith']",308275,10/27/14,2014,0.554,0.52,0.622,0.0,0.0996,-7.195,0.0919,147.205,0.319,0,6,50,0
0zNdw7vzK7nVtMlNkjVRfb,"Sweet Victory (As Heard on ""SpongeBob SquarePants"")","['David Glen Eisley', 'Bob Kulick']",231507,6/19/12,2012,0.0223,0.551,0.552,0.0315,0.119,-13.35,0.0334,121.989,0.379,1,10,53,0
25sgk305KZfyuqVBQIahim,Sweet but Psycho,['Ava Max'],187436,8/17/18,2018,0.0691,0.719,0.704,0.0,0.166,-4.724,0.0476,133.002,0.628,1,1,85,0
4qkwbl6SxwLE09pxLAFINt,Sweet to Me,['Summer Salt'],204307,7/4/15,2015,0.677,0.563,0.51,3.8e-06,0.305,-6.751,0.0283,97.467,0.501,1,9,60,0
6KRpJT14N5lvLP6zo1QPoB,Sweeter,['Gavin DeGraw'],223787,9/16/11,2011,0.0942,0.683,0.86,0.0,0.156,-3.398,0.0364,92.011,0.743,1,2,45,0
1ehhGlTvjtHo2e4xJFB0SZ,Sweeter (feat. Terrace Martin),"['Leon Bridges', 'Terrace Martin']",167468,6/8/20,2020,0.0167,0.719,0.385,0.0313,0.111,-10.907,0.0403,128.0,0.27,1,8,64,0
7nY8TY0Wk7kBIJi2Zv8JoR,Sweetest Devotion,['Adele'],251693,6/24/16,2016,0.231,0.419,0.745,0.0,0.123,-5.477,0.0408,155.875,0.259,1,0,54,0
0ey9VL7lFerteaCVvahKYV,Sweetest Kill,['Broken Social Scene'],309307,5/4/10,2010,0.0893,0.709,0.384,0.848,0.0961,-12.427,0.0301,87.961,0.691,1,5,53,0
4dpEYOPcmHNfvERbiajp3G,Sweetie Little Jean,['Cage The Elephant'],224893,12/18/15,2015,0.029,0.524,0.532,8.41e-05,0.242,-6.07,0.026,135.677,0.367,0,6,59,0
3TXYRNSjz8txG5rL5H9RWO,Swerve,['Arizona Zervas'],169718,1/18/17,2017,0.157,0.918,0.834,1.12e-05,0.0651,-6.21,0.0935,128.006,0.842,1,0,65,1
2OUR8g12h5qsGDs1v5lqvp,Swerve City,['Deftones'],164987,11/9/12,2012,0.0001,0.457,0.964,0.00811,0.67,-2.963,0.0656,111.972,0.372,1,10,55,0
1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),"['A Boogie Wit da Hoodie', '6ix9ine']",189487,12/21/18,2018,0.0153,0.581,0.662,0.0,0.111,-5.239,0.303,93.023,0.434,1,9,83,1
1rMSja8j1k8VRXXztemdLb,Swim,['Alec Benjamin'],144387,11/16/18,2018,0.289,0.737,0.562,0.000363,0.306,-6.117,0.0747,160.051,0.532,0,11,62,0
